"strain" "hours_to_starve" "block" "type"
"A_QG3254" 101.8 "A4" "RIL"
"A_QG3116" 105.466666666667 "A4" "RIL"
"A_QG3489" 116.016666666667 "A4" "RIL"
"A_QG3322" 99.6166666666667 "A4" "RIL"
"A_QG3245" 88.7 "A4" "RIL"
"A_QG3395" 93.2333333333333 "A4" "RIL"
"A_QG3404" 162.05 "A4" "RIL"
"A_QG3207" 98.6333333333333 "A4" "RIL"
"A_QG3322" 93.7166666666667 "A4" "RIL"
"A_QG3101" 88.4166666666667 "A4" "RIL"
"A_QG3129" 130.083333333333 "A4" "RIL"
"A_QG3474" 98.6833333333333 "A4" "RIL"
"A_QG3207" 98.75 "A4" "RIL"
"A_QG3256" 94.3 "A4" "RIL"
"A_QG3485" 277.15 "A4" "RIL"
"A_QG3254" 98.7166666666667 "A4" "RIL"
"A_QG3404" 115.85 "A4" "RIL"
"A_QG3489" 116.95 "A4" "RIL"
"A_QG3207" 97.5 "A4" "RIL"
"A_QG3395" 94.1666666666667 "A4" "RIL"
"A_QG3101" 90.2833333333333 "A4" "RIL"
"A_QG3129" 130.9 "A4" "RIL"
"A_QG3404" 121.966666666667 "A4" "RIL"
"A_QG3474" 103.533333333333 "A4" "RIL"
"A_QG3256" 98.1166666666667 "A4" "RIL"
"A_QG3485" 170.3 "A4" "RIL"
"A_QG3243" 93.9166666666667 "A4" "RIL"
"A_QG3129" 147.016666666667 "A4" "RIL"
"A_QG3116" 103.55 "A4" "RIL"
"A_QG3257" 94.15 "A4" "RIL"
"A_QG3256" 94.2166666666667 "A4" "RIL"
"A_QG3245" 94.7666666666667 "A4" "RIL"
"A_QG3395" 98.3 "A4" "RIL"
"A_QG3254" 107.933333333333 "A4" "RIL"
"A_QG3243" 88.0333333333333 "A4" "RIL"
"A_QG3489" 104.166666666667 "A4" "RIL"
"A_QG3257" 93.25 "A4" "RIL"
"A_QG3322" 94.8 "A4" "RIL"
"A_QG3267" 159.4 "A5" "RIL"
"A_QG3214" 152.85 "A5" "RIL"
"A_QG3225" 96.7833333333333 "A5" "RIL"
"A_QG3261" 95.1666666666667 "A5" "RIL"
"A_QG3087" 90.5333333333333 "A5" "RIL"
"A_QG3122" 99.4 "A5" "RIL"
"A_QG3458" 99.4166666666667 "A5" "RIL"
"A_QG3265" 110.866666666667 "A5" "RIL"
"A_QG3110" 94.95 "A5" "RIL"
"A_QG3211" 98.7333333333333 "A5" "RIL"
"A_QG3347" 91.2166666666667 "A5" "RIL"
"A_QG3262" 100.45 "A5" "RIL"
"A_QG3456" 95.3666666666667 "A5" "RIL"
"A_QG3324" 97.4333333333333 "A5" "RIL"
"A_QG3123" 99.8666666666667 "A5" "RIL"
"A_QG3391" 89.9333333333333 "A5" "RIL"
"A_QG3385" 94.1333333333333 "A5" "RIL"
"A_QG3100" 98.4 "A5" "RIL"
"A_QG3235" 103.366666666667 "A5" "RIL"
"A_QG3102" 95.4666666666667 "A5" "RIL"
"A_QG3117" 104.833333333333 "A5" "RIL"
"A_QG3089" 101.916666666667 "A5" "RIL"
"A_QG3130" 173.333333333333 "A5" "RIL"
"A_QG3128" 95.8333333333333 "A5" "RIL"
"A_QG3483" 112.9 "A5" "RIL"
"A_QG3128" 98.55 "A5" "RIL"
"A_QG3483" 98.6166666666667 "A5" "RIL"
"A_QG3130" 151.116666666667 "A5" "RIL"
"A_QG3235" 102.183333333333 "A5" "RIL"
"A_QG3102" 105.283333333333 "A5" "RIL"
"A_QG3117" 113.683333333333 "A5" "RIL"
"A_QG3089" 118.766666666667 "A5" "RIL"
"A_QG3385" 95.0166666666667 "A5" "RIL"
"A_QG3100" 111.333333333333 "A5" "RIL"
"A_QG3456" 108.35 "A5" "RIL"
"A_QG3324" 100.416666666667 "A5" "RIL"
"A_QG3123" 102.866666666667 "A5" "RIL"
"A_QG3391" 119.933333333333 "A5" "RIL"
"A_QG3211" 92.75 "A5" "RIL"
"A_QG3347" 105.233333333333 "A5" "RIL"
"A_QG3262" 100.516666666667 "A5" "RIL"
"A_QG3122" 101.516666666667 "A5" "RIL"
"A_QG3458" 112.533333333333 "A5" "RIL"
"A_QG3265" 100.016666666667 "A5" "RIL"
"A_QG3110" 104.1 "A5" "RIL"
"A_QG3225" 103.966666666667 "A5" "RIL"
"A_QG3261" 95.35 "A5" "RIL"
"A_QG3087" 94.75 "A5" "RIL"
"A_QG3267" 120.65 "A5" "RIL"
"A_QG3214" 131.133333333333 "A5" "RIL"
"A_QG3267" 181.4 "A5" "RIL"
"A_QG3456" 116.233333333333 "A5" "RIL"
"A_QG3087" 104.533333333333 "A5" "RIL"
"A_QG3261" 90.1666666666667 "A5" "RIL"
"A_QG3225" 95.7833333333333 "A5" "RIL"
"A_QG3265" 175.866666666667 "A5" "RIL"
"A_QG3458" 114.416666666667 "A5" "RIL"
"A_QG3122" 121.4 "A5" "RIL"
"A_QG3347" 100.216666666667 "A5" "RIL"
"A_QG3211" 107.733333333333 "A5" "RIL"
"A_QG3123" 125.866666666667 "A5" "RIL"
"A_QG3324" 110.433333333333 "A5" "RIL"
"A_QG3385" 106.133333333333 "A5" "RIL"
"A_QG3117" 142.833333333333 "A5" "RIL"
"A_QG3128" 95.8333333333333 "A5" "RIL"
"A_QG3235" 120.433333333333 "A5" "RIL"
"A_QG3321" 93.1833333333333 "A6" "RIL"
"A_QG3381" 115.633333333333 "A6" "RIL"
"A_QG3205" 104.166666666667 "A6" "RIL"
"A_QG3249" 89.4666666666667 "A6" "RIL"
"A_QG3334" 111.966666666667 "A6" "RIL"
"A_QG3242" 124 "A6" "RIL"
"A_QG3488" 127.216666666667 "A6" "RIL"
"A_QG3139" 91.9666666666667 "A6" "RIL"
"A_QG3255" 94.4333333333333 "A6" "RIL"
"A_QG3248" 89.2333333333333 "A6" "RIL"
"A_QG3266" 120.683333333333 "A6" "RIL"
"A_QG3238" 96.2833333333333 "A6" "RIL"
"A_QG3333" 90.5333333333333 "A6" "RIL"
"A_QG3138" 84.9666666666667 "A6" "RIL"
"A_QG3127" 100.466666666667 "A6" "RIL"
"A_QG3126" 99.8833333333333 "A6" "RIL"
"A_QG3125" 100.7 "A6" "RIL"
"A_QG3394" 93.2666666666667 "A6" "RIL"
"A_QG3246" 105.55 "A6" "RIL"
"A_QG3095" 92.4833333333333 "A6" "RIL"
"A_QG3233" 96.8166666666667 "A6" "RIL"
"A_QG3337" 95.7 "A6" "RIL"
"A_QG3221" 107.233333333333 "A6" "RIL"
"A_QG3483" 125.433333333333 "A6" "RIL"
"A_QG3127" 115.266666666667 "A6" "RIL"
"A_QG3125" 103.516666666667 "A6" "RIL"
"A_QG3464" 98.2166666666667 "A6" "RIL"
"A_QG3321" 86.2666666666667 "A6" "RIL"
"A_QG3381" 127.716666666667 "A6" "RIL"
"A_QG3095" 95.3 "A6" "RIL"
"A_QG3090" 96.85 "A6" "RIL"
"A_QG3334" 122.033333333333 "A6" "RIL"
