"strain" "block" "scaled_mean_worm_length_um_f" "scaled_mean_worm_length_um_m" "mean_worm_length_um_f" "mean_worm_length_um_m" "scaled_SE_f" "scaled_SE_m" "SE_f" "SE_m" "weight_f" "weight_m" "conv" "div" "SE_rotated" "weight_rotated"
"QG3086" "D" -0.202168229118254 -0.895139005916931 916.588711823547 715.161342354448 0.0436002268789009 0.28436331268585 3.32602250388311 10.8207081881022 2.02990604147912 0.589199232600631 -1.10415022294725 0.15426391777345 0.203425014914049 24.1652496951499
"QG3086" "E" 1.30240428221182 -0.0979356701018091 1031.36430795306 745.49684724768 0.068531953814348 0.155206293080719 5.2279273971371 5.90597285747224 0.821612820553562 1.97783769382511 0.543761030907359 0.667266090478533 0.119970042313633 69.4791306810059
"QG3086" "G" -1.38907130522136 -1.42566765483959 826.046376986354 694.973450881394 0.0480316598153731 0.369021156633407 3.66407225101156 14.0421428258482 1.67262369600535 0.349870053026969 -2.33411737485954 -0.320435720290964 0.263138418315985 14.4421376576409
"QG3087" "E" 1.31851682856713 0.235730680715634 1032.59344586377 758.193654653258 0.0919085672923666 0.18108593285985 7.01120120230375 6.89075541404819 0.456816142422676 1.45291388068285 0.792837586341161 0.441330870868082 0.143595438335376 48.4974286338237
"QG3087" "G" 1.3013552865175 0.865534341256755 1031.28428581704 782.159199160903 0.0595430967161148 0.190402655122076 4.54221672237497 7.24527911092365 1.08840517775309 1.31420556492504 1.22881197696125 -0.0192914555319554 0.141064792638136 50.2530852865365
"QG3089" "B" -1.89965643749164 -1.73727835875699 787.096633793598 683.115913903323 0.0495809739045636 0.208896054466005 3.78226093705999 7.94899744862557 1.56972410709618 1.09181442455835 -2.9225829630057 -0.465288240388872 0.151815405253863 43.3878683345389
"QG3089" "C" 0.269595699196687 0.51219946273906 952.576997995863 768.713956956461 0.0661819420198328 0.173017248254001 5.04865786868585 6.58372255261089 0.880996982460378 1.59158743274708 0.236383438810301 -0.508707845713681 0.130986674213263 58.2835195019529
"QG3090" "B" 1.51450567165633 0.435563375085747 1047.54436124399 765.797769444993 0.0793339847637359 0.325721374743957 6.05195517399007 12.3944819514237 0.613105056028344 0.449072834239448 1.07582241258096 0.439831263385167 0.237053047969843 17.7954474543514
"QG3092" "G" -0.402737318242707 -1.26672505597621 901.288394559966 701.021599162952 0.0488953182570319 0.317474018121381 3.72995602314431 12.0806501898888 1.61405704566939 0.47270797025258 -1.51267935468514 0.27472954019018 0.227134876592732 19.3835067292496
"QG3095" "B" 1.24481031392541 1.68960469212623 1026.97077956293 813.517058615426 0.0710031230053124 0.231622143891107 5.41643935976699 8.81377982720693 0.765417755060202 0.888073984857572 1.77478481785124 -0.646475929333316 0.171304204585323 34.0772040426466
"QG3096" "F" 0.224703382011564 0.188275508636028 949.152408999482 756.38787118478 0.0711184390611577 0.165122683323174 5.42523619006482 6.28331536371703 0.762937571341738 1.74741406608957 -0.0264256120906988 -0.310374524778632 0.127128543062408 61.87480742797
"QG3097" "C" -1.53198153432633 -0.928082815941039 815.144538347798 713.907751124595 0.0308876124349473 0.166284497827836 2.35624677677008 6.32752520079098 4.04468547931505 1.72308132641832 -2.08255927552329 -0.777245896572736 0.119592179551564 69.918876016329
