rilname,panel,lib,file1,file2
QG3316,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3316.fastq.gz,H2L2LDSXC_l03_n02_B_QG3316.fastq.gz
QG3317,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3317.fastq.gz,H2L2LDSXC_l03_n02_B_QG3317.fastq.gz
QG3319,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3319.fastq.gz,H2L2LDSXC_l03_n02_B_QG3319.fastq.gz
QG3320,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3320.fastq.gz,H2L2LDSXC_l03_n02_B_QG3320.fastq.gz
QG3321,alpha,H2L2LDSXC,H2L2LDSXC_l03_n01_A_QG3321.fastq.gz,H2L2LDSXC_l03_n02_A_QG3321.fastq.gz
QG3322,alpha,HMT3KBGX7,HMT3KBGX7_n01_QG3322.fastq.gz,HMT3KBGX7_n02_QG3322.fastq.gz
QG3324,alpha,H2L2LDSXC,H2L2LDSXC_l03_n01_A_QG3324.fastq.gz,H2L2LDSXC_l03_n02_A_QG3324.fastq.gz
QG3327,alpha,H2L2LDSXC,H2L2LDSXC_l03_n01_A_QG3327.fastq.gz,H2L2LDSXC_l03_n02_A_QG3327.fastq.gz
QG3331,alpha,H2L2LDSXC,H2L2LDSXC_l03_n01_A_QG3331.fastq.gz,H2L2LDSXC_l03_n02_A_QG3331.fastq.gz
QG3333,alpha,H2L2LDSXC,H2L2LDSXC_l03_n01_A_QG3333.fastq.gz,H2L2LDSXC_l03_n02_A_QG3333.fastq.gz
QG3334,alpha,H2L2LDSXC,H2L2LDSXC_l03_n01_A_QG3334.fastq.gz,H2L2LDSXC_l03_n02_A_QG3334.fastq.gz
QG3335,alpha,H2L2LDSXC,H2L2LDSXC_l03_n01_A_QG3335.fastq.gz,H2L2LDSXC_l03_n02_A_QG3335.fastq.gz
QG3336,alpha,H2L2LDSXC,H2L2LDSXC_l03_n01_A_QG3336.fastq.gz,H2L2LDSXC_l03_n02_A_QG3336.fastq.gz
QG3337,alpha,H2L2LDSXC,H2L2LDSXC_l03_n01_A_QG3337.fastq.gz,H2L2LDSXC_l03_n02_A_QG3337.fastq.gz
QG3342,alpha,H2L2LDSXC,H2L2LDSXC_l03_n01_A_QG3342.fastq.gz,H2L2LDSXC_l03_n02_A_QG3342.fastq.gz
QG3344,alpha,H2L2LDSXC,H2L2LDSXC_l03_n01_A_QG3344.fastq.gz,H2L2LDSXC_l03_n02_A_QG3344.fastq.gz
QG3346,alpha,H2L2LDSXC,H2L2LDSXC_l03_n01_A_QG3346.fastq.gz,H2L2LDSXC_l03_n02_A_QG3346.fastq.gz
QG3347,alpha,H53C5BGXJ,H53C5BGXJ_n01_3QG3347.fastq.gz,H53C5BGXJ_n02_3QG3347.fastq.gz
QG3349,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3349.fastq.gz,H2L2LDSXC_l03_n02_B_QG3349.fastq.gz
QG3351,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3351.fastq.gz,H2L2LDSXC_l03_n02_B_QG3351.fastq.gz
QG3352,beta,HF753DRX7,HF753DRX7_n01_QG3352_TP25.fastq.gz,HF753DRX7_n02_QG3352_TP25.fastq.gz
QG3354,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3354.fastq.gz,H2L2LDSXC_l03_n02_B_QG3354.fastq.gz
QG3355,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3355.fastq.gz,H2L2LDSXC_l03_n02_B_QG3355.fastq.gz
QG3357,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3357.fastq.gz,H2L2LDSXC_l03_n02_B_QG3357.fastq.gz
QG3358,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3358.fastq.gz,H2L2LDSXC_l03_n02_B_QG3358.fastq.gz
QG3362,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3362.fastq.gz,H2L2LDSXC_l03_n02_B_QG3362.fastq.gz
QG3363,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3363.fastq.gz,H2L2LDSXC_l03_n02_B_QG3363.fastq.gz
QG3364,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3364.fastq.gz,H2L2LDSXC_l03_n02_B_QG3364.fastq.gz
QG3366,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3366.fastq.gz,H2L2LDSXC_l03_n02_B_QG3366.fastq.gz
QG3367,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3367.fastq.gz,H2L2LDSXC_l03_n02_B_QG3367.fastq.gz
QG3370,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3370.fastq.gz,H2L2LDSXC_l03_n02_B_QG3370.fastq.gz
QG3371,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3371.fastq.gz,H2L2LDSXC_l03_n02_B_QG3371.fastq.gz
QG3372,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3372.fastq.gz,H2L2LDSXC_l03_n02_B_QG3372.fastq.gz
QG3373,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3373.fastq.gz,H2L2LDSXC_l03_n02_B_QG3373.fastq.gz
QG3374,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3374.fastq.gz,H2L2LDSXC_l03_n02_B_QG3374.fastq.gz
QG3377,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3377.fastq.gz,H2L2LDSXC_l03_n02_B_QG3377.fastq.gz
QG3380,alpha,H2L2LDSXC,H2L2LDSXC_l03_n01_A_QG3380.fastq.gz,H2L2LDSXC_l03_n02_A_QG3380.fastq.gz
QG3381,alpha,H2L2LDSXC,H2L2LDSXC_l03_n01_A_QG3381.fastq.gz,H2L2LDSXC_l03_n02_A_QG3381.fastq.gz
QG3383,alpha,H2L2LDSXC,H2L2LDSXC_l03_n01_A_QG3383.fastq.gz,H2L2LDSXC_l03_n02_A_QG3383.fastq.gz
QG3385,alpha,H2L2LDSXC,H2L2LDSXC_l03_n01_A_QG3385.fastq.gz,H2L2LDSXC_l03_n02_A_QG3385.fastq.gz
QG3387,alpha,H2L2LDSXC,H2L2LDSXC_l03_n01_A_QG3387.fastq.gz,H2L2LDSXC_l03_n02_A_QG3387.fastq.gz
QG3391,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3391.fastq.gz,H2L2LDSXC_l04_n02_A_QG3391.fastq.gz
QG3392,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3392.fastq.gz,H2L2LDSXC_l04_n02_A_QG3392.fastq.gz
QG3394,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3394.fastq.gz,H2L2LDSXC_l04_n02_A_QG3394.fastq.gz
QG3395,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3395.fastq.gz,H2L2LDSXC_l04_n02_A_QG3395.fastq.gz
QG3396,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3396.fastq.gz,H2L2LDSXC_l04_n02_A_QG3396.fastq.gz
QG3397,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3397.fastq.gz,H2L2LDSXC_l04_n02_A_QG3397.fastq.gz
QG3400,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3400.fastq.gz,H2L2LDSXC_l04_n02_A_QG3400.fastq.gz
QG3403,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3403.fastq.gz,H2L2LDSXC_l04_n02_A_QG3403.fastq.gz
QG3404,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3404.fastq.gz,H2L2LDSXC_l04_n02_A_QG3404.fastq.gz
QG3408,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3408.fastq.gz,H2L2LDSXC_l04_n02_A_QG3408.fastq.gz
QG3409,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3409.fastq.gz,H2L2LDSXC_l04_n02_A_QG3409.fastq.gz
QG3410,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3410.fastq.gz,H2L2LDSXC_l04_n02_A_QG3410.fastq.gz
QG3412,beta,H2L2LDSXC,H2L2LDSXC_l04_n01_B_QG3412.fastq.gz,H2L2LDSXC_l04_n02_B_QG3412.fastq.gz
QG3414,beta,H2L2LDSXC,H2L2LDSXC_l04_n01_B_QG3414.fastq.gz,H2L2LDSXC_l04_n02_B_QG3414.fastq.gz
QG3418,beta,H2L2LDSXC,H2L2LDSXC_l04_n01_B_QG3418.fastq.gz,H2L2LDSXC_l04_n02_B_QG3418.fastq.gz
QG3421,beta,H2L2LDSXC,H2L2LDSXC_l04_n01_B_QG3421.fastq.gz,H2L2LDSXC_l04_n02_B_QG3421.fastq.gz
QG3427,beta,H2L2LDSXC,H2L2LDSXC_l04_n01_B_QG3427.fastq.gz,H2L2LDSXC_l04_n02_B_QG3427.fastq.gz
QG3432,beta,H2L2LDSXC,H2L2LDSXC_l04_n01_B_QG3432.fastq.gz,H2L2LDSXC_l04_n02_B_QG3432.fastq.gz
QG3434,beta,H2L2LDSXC,H2L2LDSXC_l04_n01_B_QG3434.fastq.gz,H2L2LDSXC_l04_n02_B_QG3434.fastq.gz
QG3437,beta,H2L2LDSXC,H2L2LDSXC_l04_n01_B_QG3437.fastq.gz,H2L2LDSXC_l04_n02_B_QG3437.fastq.gz
QG3440,beta,H2L2LDSXC,H2L2LDSXC_l04_n01_B_QG3440.fastq.gz,H2L2LDSXC_l04_n02_B_QG3440.fastq.gz
QG3456,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3456.fastq.gz,H2L2LDSXC_l04_n02_A_QG3456.fastq.gz
QG3457,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3457.fastq.gz,H2L2LDSXC_l04_n02_A_QG3457.fastq.gz
QG3458,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3458.fastq.gz,H2L2LDSXC_l04_n02_A_QG3458.fastq.gz
QG3459,beta,H2L2LDSXC,H2L2LDSXC_l04_n01_B_QG3459.fastq.gz,H2L2LDSXC_l04_n02_B_QG3459.fastq.gz
QG3460,beta,H2L2LDSXC,H2L2LDSXC_l04_n01_B_QG3460.fastq.gz,H2L2LDSXC_l04_n02_B_QG3460.fastq.gz
QG3463,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3463.fastq.gz,H2L2LDSXC_l04_n02_A_QG3463.fastq.gz
QG3464,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3464.fastq.gz,H2L2LDSXC_l04_n02_A_QG3464.fastq.gz
QG3465,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3465.fastq.gz,H2L2LDSXC_l04_n02_A_QG3465.fastq.gz
QG3467,beta,H2L2LDSXC,H2L2LDSXC_l04_n01_B_QG3467.fastq.gz,H2L2LDSXC_l04_n02_B_QG3467.fastq.gz
QG3468,beta,H53C5BGXJ,H53C5BGXJ_n01_3QG3468.fastq.gz,H53C5BGXJ_n02_3QG3468.fastq.gz
QG3469,beta,H2L2LDSXC,H2L2LDSXC_l04_n01_B_QG3469.fastq.gz,H2L2LDSXC_l04_n02_B_QG3469.fastq.gz
QG3470,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3470.fastq.gz,H2L2LDSXC_l04_n02_A_QG3470.fastq.gz
QG3472,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3472.fastq.gz,H2L2LDSXC_l04_n02_A_QG3472.fastq.gz
QG3473,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3473.fastq.gz,H2L2LDSXC_l04_n02_A_QG3473.fastq.gz
QG3474,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3474.fastq.gz,H2L2LDSXC_l04_n02_A_QG3474.fastq.gz
QG3477,beta,H2L2LDSXC,H2L2LDSXC_l04_n01_B_QG3477.fastq.gz,H2L2LDSXC_l04_n02_B_QG3477.fastq.gz
QG3479,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3479.fastq.gz,H2L2LDSXC_l04_n02_A_QG3479.fastq.gz
QG3480,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3480.fastq.gz,H2L2LDSXC_l04_n02_A_QG3480.fastq.gz
QG3481,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3481.fastq.gz,H2L2LDSXC_l04_n02_A_QG3481.fastq.gz
QG3483,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3483.fastq.gz,H2L2LDSXC_l04_n02_A_QG3483.fastq.gz
QG3485,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3485.fastq.gz,H2L2LDSXC_l04_n02_A_QG3485.fastq.gz
QG3488,alpha,HFTY3DMXY,HFTY3DMXY_n01_BCi.QG3488.fastq.gz,HFTY3DMXY_n02_BCi.QG3488.fastq.gz
QG3489,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3489.fastq.gz,H2L2LDSXC_l04_n02_A_QG3489.fastq.gz
QG3491,beta,H2L2LDSXC,H2L2LDSXC_l04_n01_B_QG3491.fastq.gz,H2L2LDSXC_l04_n02_B_QG3491.fastq.gz
QG3492,beta,HFTY3DMXY,HFTY3DMXY_n01_BCi.QG3492.fastq.gz,HFTY3DMXY_n02_BCi.QG3492.fastq.gz
QG3493,beta,H2L2LDSXC,H2L2LDSXC_l04_n01_B_QG3493.fastq.gz,H2L2LDSXC_l04_n02_B_QG3493.fastq.gz
QG3494,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3494.fastq.gz,H2L2LDSXC_l04_n02_A_QG3494.fastq.gz
QG3495,beta,HGV55BGXJ,HGV55BGXJ_n01_4QG3495.fastq.gz,HGV55BGXJ_n02_4QG3495.fastq.gz
QG3499,beta,H2L2LDSXC,H2L2LDSXC_l04_n01_B_QG3499.fastq.gz,H2L2LDSXC_l04_n02_B_QG3499.fastq.gz
QG3500,beta,HF753DRX7,HF753DRX7_n01_QG3500_TP25.fastq.gz,HF753DRX7_n02_QG3500_TP25.fastq.gz
QG3502,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3502.fastq.gz,H2L2LDSXC_l04_n02_A_QG3502.fastq.gz
QG3506,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3506.fastq.gz,H2L2LDSXC_l04_n02_A_QG3506.fastq.gz
QG3507,beta,H2L2LDSXC,H2L2LDSXC_l04_n01_B_QG3507.fastq.gz,H2L2LDSXC_l04_n02_B_QG3507.fastq.gz
QG3508,beta,HF32FBGXK,HF32FBGXK_n01_5QG3508.fastq.gz,HF32FBGXK_n02_5QG3508.fastq.gz
QG3509,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3509.fastq.gz,H2L2LDSXC_l04_n02_A_QG3509.fastq.gz
QG3510,alpha,H2L2LDSXC,H2L2LDSXC_l04_n01_A_QG3510.fastq.gz,H2L2LDSXC_l04_n02_A_QG3510.fastq.gz
QG3511,beta,HMT3KBGX7,HMT3KBGX7_n01_QG3511.fastq.gz,HMT3KBGX7_n02_QG3511.fastq.gz
