rilname,panel,lib,file1,file2
QG3155,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3155.fastq.gz,H2L2LDSXC_l01_n02_B_QG3155.fastq.gz
QG3156,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3156.fastq.gz,H2L2LDSXC_l01_n02_B_QG3156.fastq.gz
QG3157,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3157.fastq.gz,H2L2LDSXC_l01_n02_B_QG3157.fastq.gz
QG3158,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3158.fastq.gz,H2L2LDSXC_l01_n02_B_QG3158.fastq.gz
QG3159,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3159.fastq.gz,H2L2LDSXC_l01_n02_B_QG3159.fastq.gz
QG3160,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3160.fastq.gz,H2L2LDSXC_l01_n02_B_QG3160.fastq.gz
QG3161,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3161.fastq.gz,H2L2LDSXC_l01_n02_B_QG3161.fastq.gz
QG3162,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3162.fastq.gz,H2L2LDSXC_l01_n02_B_QG3162.fastq.gz
QG3163,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3163.fastq.gz,H2L2LDSXC_l01_n02_B_QG3163.fastq.gz
QG3164,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3164.fastq.gz,H2L2LDSXC_l01_n02_B_QG3164.fastq.gz
QG3166,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3166.fastq.gz,H2L2LDSXC_l01_n02_B_QG3166.fastq.gz
QG3167,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3167.fastq.gz,H2L2LDSXC_l01_n02_B_QG3167.fastq.gz
QG3168,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3168.fastq.gz,H2L2LDSXC_l01_n02_B_QG3168.fastq.gz
QG3169,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3169.fastq.gz,H2L2LDSXC_l01_n02_B_QG3169.fastq.gz
QG3170,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3170.fastq.gz,H2L2LDSXC_l01_n02_B_QG3170.fastq.gz
QG3171,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3171.fastq.gz,H2L2LDSXC_l01_n02_B_QG3171.fastq.gz
QG3172,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3172.fastq.gz,H2L2LDSXC_l01_n02_B_QG3172.fastq.gz
QG3173,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3173.fastq.gz,H2L2LDSXC_l01_n02_B_QG3173.fastq.gz
QG3174,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3174.fastq.gz,H2L2LDSXC_l01_n02_B_QG3174.fastq.gz
QG3175,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3175.fastq.gz,H2L2LDSXC_l01_n02_B_QG3175.fastq.gz
QG3176,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3176.fastq.gz,H2L2LDSXC_l01_n02_B_QG3176.fastq.gz
QG3177,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3177.fastq.gz,H2L2LDSXC_l01_n02_B_QG3177.fastq.gz
QG3178,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3178.fastq.gz,H2L2LDSXC_l01_n02_B_QG3178.fastq.gz
QG3179,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3179.fastq.gz,H2L2LDSXC_l01_n02_B_QG3179.fastq.gz
QG3180,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3180.fastq.gz,H2L2LDSXC_l01_n02_B_QG3180.fastq.gz
QG3181,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3181.fastq.gz,H2L2LDSXC_l01_n02_B_QG3181.fastq.gz
QG3182,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3182.fastq.gz,H2L2LDSXC_l01_n02_B_QG3182.fastq.gz
QG3183,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3183.fastq.gz,H2L2LDSXC_l01_n02_B_QG3183.fastq.gz
QG3185,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3185.fastq.gz,H2L2LDSXC_l01_n02_B_QG3185.fastq.gz
QG3186,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3186.fastq.gz,H2L2LDSXC_l01_n02_B_QG3186.fastq.gz
