"trait" "chrom" "Va" "SE_Va" "Va_rel" "SE_Va_rel"
"1" "growthrate" "I" 0.013979948333549 0.00505817199668613 0.478262729655899 0.173043210782025
"2" "growthrate" "II" 0.00394472913119138 0.00212230935836748 0.134951637661581 0.0726055234747364
"3" "growthrate" "III" 0.00299970245466189 0.00170144916759166 0.102621687140234 0.058207634523966
"4" "growthrate" "IV" 0.00254681364774298 0.00175601495535766 0.0871280793056579 0.0600743640697516
"5" "growthrate" "V" 0.000792191544203207 0.00083963836854182 0.0271013655631133 0.0287245509412189
"6" "growthrate" "X" 0.00496730226336565 0.00293791181942166 0.169934500673515 0.100507791067654
