"trait" "chrom" "Va" "SE_Va" "Va_rel" "SE_Va_rel"
"1" "size" "I" 0.00691155343896727 0.00945467230855387 0.0799172410450674 0.109322937680668
"2" "size" "II" 0.00752513959471109 0.00955686659593344 0.0870120444266096 0.110504594680076
"3" "size" "III" 0.00568796162940961 0.00847673027313274 0.0657690350811414 0.0980151426874003
"4" "size" "IV" 0.0383496705804975 0.0258876926068085 0.443431407258061 0.2993354516359
"5" "size" "V" 0.00484405110875976 0.00826361052895415 0.0560110261046067 0.0955508715047516
"6" "size" "X" 0.0231655080834259 0.0184658517754782 0.267859246084514 0.21351783509669
